Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
Intel Core i9-10900KF,LGA1200,10,20,3.7 GHz,5.3 GHz,125 W,51264,Pro
AMD FX-8350,AM3+,8,8,4.0 GHz,,125 W,28963,Entry
Intel Core i5-10500,LGA1200,6,12,3.1 GHz,4.5 GHz,65 W,26852,Mid
Intel Core Ultra 5 235,LGA1851,14,14,3.4 GHz,5.0 GHz,65 W,31528,High
Intel Core i3-10105F,LGA1200,4,8,3.7 GHz,4.4 GHz,65 W,11794,Entry
Intel Core i5-10600KF,LGA1200,6,12,4.1 GHz,4.8 GHz,125 W,27182,Mid
Intel Core i7-13700,LGA1700,16,24,2.1 GHz,5.2 GHz,65 W,77304,High
AMD Ryzen 5 5600T,AM4,6,12,3.5 GHz,4.5 GHz,65 W,30362,Mid
Intel Core i5-4460,LGA1150,4,4,3.2 GHz,3.4 GHz,84 W,8006,Mid
Intel Core i5-4690K,LGA1150,4,4,3.5 GHz,3.9 GHz,88 W,24966,Mid
Intel Core i9-9900KS,LGA1151,8,16,4.0 GHz,5.0 GHz,127 W,162200,Pro
AMD Ryzen 5 1400,AM4,4,8,3.2 GHz,3.4 GHz,65 W,10625,Entry
Intel Core i5-9600KF,LGA1151,6,6,3.7 GHz,4.6 GHz,95 W,26492,Mid
Intel Core i7-8700K,LGA1151,6,12,3.7 GHz,4.7 GHz,95 W,29188,High
Intel Core i5-4570,LGA1150,4,4,3.2 GHz,,84 W,11444,Mid
Intel Xeon E5-2690 V2,LGA2011,10,20,3.0 GHz,3.6 GHz,130 W,0,Pro
Intel Core i9-10980XE,LGA2066,18,36,3.0 GHz,4.8 GHz,165 W,117780,Pro
AMD Ryzen 5 1600 (12nm),AM4,6,12,3.2 GHz,3.6 GHz,65 W,11676,Entry
AMD Ryzen 3 3300X,AM4,4,8,3.8 GHz,4.3 GHz,65 W,14013,Entry
Intel Core i3-13100,LGA1700,4,8,3.4 GHz,4.5 GHz,60 W,18333,Entry
Intel Core i5-7500T,LGA1151,4,4,2.7 GHz,3.3 GHz,35 W,15231,Mid
AMD Ryzen 7 1800X,AM4,8,16,3.6 GHz,4.0 GHz,95 W,27558,High
AMD Ryzen 3 1200 (14nm),AM4,4,4,3.1 GHz,3.4 GHz,65 W,10204,Entry
AMD Ryzen 5 1500X,AM4,4,8,3.5 GHz,3.7 GHz,65 W,14012,Entry
Intel Core i7-6800K,LGA2011-3,6,12,3.4 GHz,3.6 GHz,140 W,8522,High
Intel Core i3-9100,LGA1151,4,4,3.6 GHz,4.2 GHz,65 W,11347,Entry
Intel Core i5-2400,LGA1155,4,4,3.1 GHz,,95 W,8093,Mid
Intel Core i7-4790K,LGA1150,4,8,4.0 GHz,4.4 GHz,88 W,26218,High
Intel Core i5-9500,LGA1151,6,6,3.0 GHz,4.4 GHz,65 W,15131,Mid
Intel Core i5-3570K,LGA1155,4,4,3.4 GHz,,77 W,15443,Mid
Intel Core i3-7100T,LGA1151,2,4,3.4 GHz,,35 W,4554,Entry
Intel Celeron G3930,LGA1151,2,2,2.9 GHz,,51 W,2917,Entry
Intel Celeron 420,LGA775,1,1,1.6 GHz,,35 W,8168,Entry
Intel Core i9-14900,LGA1700,24,32,2.0 GHz,5.8 GHz,65 W,68896,Pro
Intel Core i9-10900X,LGA2066,10,20,3.7 GHz,4.7 GHz,165 W,47993,Pro
Intel Pentium G4400,LGA1151,2,2,3.3 GHz,,54 W,3035,Entry
Intel Core i5-12600,LGA1700,6,12,3.3 GHz,4.8 GHz,65 W,32112,Mid
Intel Core i9-9980XE,LGA2066,18,36,3.0 GHz,4.4 GHz,165 W,175040,Pro
Intel Core i5-4670K,LGA1150,4,4,3.4 GHz,,84 W,12479,Mid
Intel Xeon E5-1650 V4,LGA2011-3,6,12,3.6 GHz,4.0 GHz,140 W,12839,Pro
Intel Core i7-4790,LGA1150,4,8,3.6 GHz,4.0 GHz,84 W,0,High
AMD Athlon II X2 240,AM3,2,2,2.8 GHz,,65 W,3443,Entry
Intel Core i7-8700,LGA1151,6,12,3.2 GHz,4.6 GHz,65 W,51381,High
Intel Core i5-8400,LGA1151,6,6,2.8 GHz,4.0 GHz,65 W,23232,Mid
AMD EPYC 4545P,AM5,16,32,3.0 GHz,5.4 GHz,65 W,72125,Pro
Intel Core i7-2600K,LGA1155,4,8,3.4 GHz,,95 W,9925,High
Intel Core i5-11500,LGA1200,6,12,2.7 GHz,4.6 GHz,65 W,23238,Mid
Intel Core i9-9900K,LGA1151,8,16,3.6 GHz,5.0 GHz,95 W,111498,Pro
AMD EPYC 4565P,AM5,16,32,4.3 GHz,5.7 GHz,170 W,72399,Pro
Intel Core i3-4130,LGA1150,2,4,3.4 GHz,,54 W,4788,Entry
Intel Core i5-2500K,LGA1155,4,4,3.3 GHz,,95 W,18104,Mid
Intel Core i3-7100,LGA1151,2,4,3.9 GHz,,51 W,9225,Entry
Intel Core i9-13900,LGA1700,24,32,2.0 GHz,5.6 GHz,65 W,63057,Pro
Intel Pentium Gold G7400,LGA1700,2,4,3.7 GHz,46 W,14612,Entry
Intel Celeron G5900,LGA1200,2,2,3.4 GHz,58 W,6827,Entry
Intel Celeron G6900,LGA1700,2,2,3.4 GHz,46 W,14012,Entry
AMD FX-9590,AM3+,8,8,4.7 GHz,5.0 GHz,220 W,33465,Entry
Intel Pentium Gold G5420,LGA1151,2,4,3.8 GHz,54 W,3269,Entry
Intel Core i7-950,LGA1366,4,8,3.06 GHz,130 W,9827,High
Intel Core i5-6500,LGA1151,4,4,3.2 GHz,3.6 GHz,65 W,17509,Mid
Intel Core i7-7820X,LGA2066,8,16,3.6 GHz,4.5 GHz,140 W,40870,High
Intel Core i5-7600,LGA1151,4,4,3.5 GHz,4.1 GHz,65 W,19017,Mid
Intel Core i9-12900F,LGA1700,16,24,2.4 GHz,5.1 GHz,65 W,43206,Pro
AMD EPYC 4345P,AM5,8,16,3.8 GHz,5.5 GHz,65 W,40870,Pro
Intel Celeron G5905,LGA1200,2,2,3.5 GHz,58 W,9594,Entry
AMD Ryzen 3 3200G,AM4,4,4,3.6 GHz,4.0 GHz,65 W,0,Entry
Intel Core i7-7800X,LGA2066,6,12,3.5 GHz,4.0 GHz,140 W,28497,High
Intel Xeon E5-2667 V3,LGA2011-3,8,16,3.2 GHz,3.6 GHz,135 W,34910,Pro
Intel Core i9-12900,LGA1700,16,24,2.4 GHz,5.1 GHz,65 W,46592,Pro
Intel Core i5-8600,LGA1151,6,6,3.1 GHz,4.3 GHz,65 W,19267,Mid
AMD Athlon 200GE,AM4,2,4,3.2 GHz,,35 W,8756,Entry
Intel Core i7-6850K,LGA2011-3,6,12,3.6 GHz,3.8 GHz,140 W,9926,High
Intel Core i5-4440,LGA1150,4,4,3.1 GHz,3.3 GHz,84 W,11678,Mid
AMD FX-8320,AM3+,8,8,3.5 GHz,,125 W,0,Entry
Intel Core i3-10105,LGA1200,4,8,3.7 GHz,4.4 GHz,65 W,19578,Entry
Intel Core i9-7900X,LGA2066,10,20,3.3 GHz,4.5 GHz,140 W,30945,Pro
Intel Core i5-3570,LGA1155,4,4,3.4 GHz,,77 W,0,Mid
Intel Core i7-9700K,LGA1151,8,8,3.6 GHz,4.9 GHz,95 W,0,High
Intel Core i5-8500T,LGA1151,6,6,2.1 GHz,3.5 GHz,35 W,17399,Mid
Intel Pentium Gold G6400,LGA1200,2,4,4.0 GHz,58 W,8536,Entry
Intel Xeon E5-4620,LGA2011,8,16,2.2 GHz,2.6 GHz,95 W,6863,Pro
Intel Core i7-5960X,LGA2011-3,8,16,3.0 GHz,3.5 GHz,140 W,0,High
AMD EPYC 4564P,AM5,16,32,4.5 GHz,5.7 GHz,170 W,65185,Pro
AMD FX-4350,AM3+,4,4,4.2 GHz,,125 W,9688,Entry
Intel Pentium G4560,LGA1151,2,4,3.5 GHz,,54 W,6890,Entry
AMD Phenom II X4 820,AM3,4,4,2.8 GHz,,95 W,6147,Entry
Intel Core i7-7700,LGA1151,4,8,3.6 GHz,4.2 GHz,65 W,37892,High
Intel Core i7-4930K,LGA2011,6,12,3.4 GHz,3.9 GHz,130 W,11444,High
AMD EPYC 4465P,AM5,12,24,3.4 GHz,5.4 GHz,65 W,49161,Pro
Intel Core i3-10320,LGA1200,4,8,3.8 GHz,4.6 GHz,65 W,14013,Entry
Intel Core i7-9700,LGA1151,8,8,3.0 GHz,4.7 GHz,65 W,41572,High
Intel Xeon E5-2697 V2,LGA2011,12,24,2.7 GHz,3.5 GHz,130 W,0,Pro
Intel Xeon E5-2620,LGA2011,6,12,2.0 GHz,95 W,3739,Pro
Intel Core i9-9900K (Standard Folding Box),LGA1151,8,16,3.6 GHz,5.0 GHz,95 W,51264,Pro
Intel Core i9-10920X,LGA2066,12,24,3.5 GHz,4.8 GHz,165 W,102179,Pro
AMD Ryzen 3 1200 (12nm),AM4,4,4,3.1 GHz,3.4 GHz,65 W,10204,Entry
Intel Core i7-6700K,LGA1151,4,8,4.0 GHz,4.2 GHz,91 W,0,High
AMD A8-7600,FM2+,4,4,3.1 GHz,3.8 GHz,65 W,8233,Entry
Intel Core i9-7920X,LGA2066,12,24,2.9 GHz,4.4 GHz,140 W,46126,Pro
AMD FX-8320E,AM3+,8,8,3.2 GHz,4.0 GHz,95 W,17374,Entry
Intel Core 2 Quad Q9300,LGA775,4,4,2.5 GHz,,95 W,4975,Entry
Intel Xeon E5-2683 V4,LGA2011-3,16,32,2.1 GHz,3.0 GHz,120 W,38530,Pro
Intel Xeon E5-2630 V4,LGA2011-3,10,20,2.2 GHz,3.1 GHz,85 W,58271,Pro
Intel Core i5-8400T,LGA1151,6,6,1.7 GHz,3.3 GHz,35 W,13239,Mid
Intel Core i7-5930K,LGA2011-3,6,12,3.5 GHz,3.7 GHz,140 W,0,High
Intel Core i5-3330,LGA1155,4,4,3.0 GHz,,77 W,0,Mid
Intel Xeon E5-2660 V4,LGA2011-3,14,28,2.0 GHz,3.2 GHz,105 W,46593,Pro
AMD A8-6600K,FM2,4,4,3.9 GHz,100 W,10844,Entry
Intel Celeron G3900,LGA1151,2,2,2.8 GHz,51 W,3842,Entry
Intel Pentium Gold G6405,LGA1200,2,4,4.1 GHz,58 W,10509,Entry
AMD EPYC 4464P,AM5,12,24,3.7 GHz,5.4 GHz,65 W,53482,Pro
Intel Celeron G5925,LGA1200,2,2,3.6 GHz,58 W,7005,Entry
Intel Xeon E5-2660 V3,LGA2011-3,10,20,2.6 GHz,3.3 GHz,105 W,17509,Pro
Intel Xeon E5-1620 V3,LGA2011-3,4,8,3.5 GHz,3.6 GHz,140 W,12962,Pro
Intel Xeon E5-2690 V3,LGA2011-3,12,24,2.6 GHz,3.5 GHz,135 W,0,Pro
Intel Core i5-6402P,LGA1151,4,4,2.8 GHz,3.4 GHz,65 W,13857,Mid
Intel Xeon E3-1270 V3,LGA1150,4,8,3.5 GHz,3.9 GHz,80 W,47878,Pro
